"idccaa","GASOLEO_a","GASOLINA_95","GASOLEO_B","GASOLEO_PREMIUM","GASOLINA_95e10","GASOLINA_95_PREMIUM","GASOLINA_98"
"01",1.6575471284524332,1.5887814885496183,1.3300255376344086,1.7508156133828996,1.6156666666666666,1.6519398907103826,1.686
"02",1.6515109649122808,1.5814581280788178,1.2943208955223882,1.737810996563574,NA,1.66025,NA
"03",1.6616708860759495,1.608088785046729,1.355,1.7492732558139534,1.869,1.6651666666666667,NA
"04",1.7263529411764706,1.6258627450980392,1.3943611111111112,1.7945822784810126,1.764,1.7024193548387097,NA
"05",1.433610752688172,1.365258064516129,NA,1.5586840579710144,NA,1.399,NA
"06",1.6755286624203822,1.6123509933774833,1.3405882352941176,1.7700258620689655,NA,1.6861428571428572,NA
"07",1.670859375,1.5828188775510204,1.2866143958868894,1.7712661596958175,1.477,1.646421875,1.7485
"08",1.6703586956521739,1.599659793814433,1.3353443396226414,1.7576337386018237,1.5870000000000002,1.6805862068965518,1.655
"09",1.6321547861507129,1.5597352517985612,1.3356919642857144,1.7302512873326468,1.6139999999999999,1.6422626262626263,NA
"10",1.652074568288854,1.5834288025889967,1.359691489361702,1.7555036764705882,1.7185000000000001,1.6661443298969072,1.995
"11",1.6729567198177677,1.5855675675675676,1.3624311377245508,1.762865800865801,NA,1.6372631578947368,NA
"12",1.6745268361581922,1.6039367816091954,1.4128801843317973,1.7647996254681648,1.729,1.660235294117647,1.699
"13",1.6742434127979926,1.580418457648546,1.364232558139535,1.7662696629213483,1.669,1.6672073170731707,NA
"14",1.6430872483221477,1.5779364303178485,1.3733488372093023,1.7285299684542588,NA,1.6191020408163266,1.849
"15",1.6591203319502075,1.6041037735849057,1.302107142857143,1.7482782608695653,1.699,1.6649375,1.839
"16",1.689144117647059,1.5954675324675325,1.3867118644067797,1.7826652892561983,NA,1.6602222222222223,NA
"17",1.6783764705882354,1.6191733333333334,1.328,1.765,NA,1.679,NA
"18",1.344,1.2292222222222222,NA,1.3823333333333334,NA,1.269,NA
"19",1.2483846153846154,1.1485384615384615,NA,1.2834,NA,NA,NA
